site_number,store_size,market_share,car_traffic,seconds_to_near_highway,dist_nearest_act_site,Final_urbanicity,Pop_Estimate_CrYr,dist_nearest_grocery,Total_merch_revenue_2022,Median_HH_Income_CrYr,closest_tier1_competitor,Fresh_Food_Fast_Program_Indicator,site_number,division_desc,Region_ID,region_desc,Market_ID,site_country_id,site_state_desc,BU_simplified_name,Eastern_Canada_Breakdown
2700010,1725,0.090909091,173785,161,33.05488998,Suburban,17906.23247218964,1.480459256,1930289.863,64426.884003590974,0.11302964542470118,TRUE,2700010,2600 - West Coast Division,2650,2650 - WC Region - Southern CA North,2655,US,California,WEST COAST,Other
2700014,2680,0.39037433155080214,2565392,51,0.429990753,Urban,470145.98530873796,0.071721803,2037176.767,48631.72463539822,0.037945045363006864,FALSE,2700014,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3116,US,Arizona,GRAND CANYON,Other
2700020,2678,0.29,905950,91,0.516289348,Urban,223665.1818236115,0.58361751,1131589.863,47325.23072901794,0.8513118034666485,TRUE,2700020,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1832,US,Texas,ROCKY MOUNTAINS,Other
2700025,2000,0.1875,135084,15,1.10178035,Suburban,24318.49541043244,1.080994699,2707028.389,34508.47618298201,0.002750435,FALSE,2700025,1400 - Florida Division,1440,1440 - Orlando,1447,US,Florida,FLORIDA,Other
2700026,2576,0.32,298761,90,0.872233191,Urban,162455.07142253453,1.403426522,1295474.181,47693.56071796636,1.7365630597948334,TRUE,2700026,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1833,US,Texas,ROCKY MOUNTAINS,Other
2700035,1292,0.10714285714285714,271814,6,2.655732517,Suburban,41931.64675116931,0.132645027,1122609.277,41043.76354159246,0.003461115,FALSE,2700035,1400 - Florida Division,1440,1440 - Orlando,1447,US,Florida,FLORIDA,Other
2700041,2695,0.23684210526315788,459495,580,1.273759653,Urban,409685.1243618745,1.186590934,1727302.746,46808.662866893435,0.055929961741873535,FALSE,2700041,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3139,US,Arizona,GRAND CANYON,Other
2700057,3051,0.4,400388,22,0.569147632,Urban,188463.94770684477,1.174463518,1464432.502,41649.91465265509,0.018081533674815305,FALSE,2700057,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,315A,US,Arizona,GRAND CANYON,Other
2700075,1717,0.035714286,386496,95,0.906320088,Suburban,158360.7224925738,1.451999949,1515015.537,46864.701546603756,0.003717012,FALSE,2700075,1400 - Florida Division,1450,1450 - Tampa,1456,US,Florida,FLORIDA,Other
2700085,2400,0.28695652173913044,518864,95,1.00975333,Urban,342653.0900070422,1.185348756,2942739.759,52086.126459986925,0.020081459176904043,TRUE,2700085,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3147,US,Arizona,GRAND CANYON,Other
2700114,2850,0.35789473684210527,1572161,11,0.460655129,Urban,501774.0976203248,0.987590866,2250110.114,45732.00585,0.008796917,TRUE,2700114,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3115,US,Arizona,GRAND CANYON,Other
2700127,2724,0.3114754098360656,632937,366,0.702107777,Urban,153333.4747375798,0.085861108,3423228.997,71250.22577109642,0.8754687429976598,FALSE,2700127,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3123,US,Arizona,GRAND CANYON,Other
2700159,2000,0.040816327,1123857,82,1.012415589,Urban,264051.8021046681,0.599303034,1008828.807421875,43083.280500233835,0.004522449,TRUE,2700159,1400 - Florida Division,1450,1450 - Tampa,1453,US,Florida,FLORIDA,Other
2700166,2724,0.40816326530612246,1007605,143,0.716026682,Urban,247146.24956634452,0.64451035,2351396.025,38598.72650195941,0.015459243851585907,TRUE,2700166,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3153,US,Arizona,GRAND CANYON,Other
2700213,2500,0.3375,240890,323,0.971597546,Urban,217565.08103014427,1.062688428,1896690.927,54116.396714742536,1.9786978253615424,TRUE,2700213,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1839,US,Texas,ROCKY MOUNTAINS,Other
2700228,2680,0.25,20574,52,40.32499261,Suburban,2858.8118224272393,1.112789371,2091659.186,37859.85801155366,0.024732033,FALSE,2700228,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3111,US,Arizona,GRAND CANYON,Other
2700230,2813,0.5,37806,1551,20.33540879,Rural,1308.8022851009898,3.010086786,1553208.777,38980.613449769284,null,TRUE,2700230,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3159,US,Arizona,GRAND CANYON,Other
2700233,2793,0.2222222222222222,45188,285,4.033152257,Urban,12775.521589409089,0.687713852,1632654.714,37093.306205396075,0.045018571,FALSE,2700233,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3111,US,Arizona,GRAND CANYON,Other
2700243,2680,0.42424242424242425,198503,215,1.854050995,Urban,244069.0253,0.404674027,2139022.411,60922.53413891856,0.11212721484565089,TRUE,2700243,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3113,US,Arizona,GRAND CANYON,Other
2700247,2625,0.3333333333333333,123733,235,1.37361794,Urban,32521.98894876034,0.597004475,2301260.955,39541.890861823435,0.020838443050135717,FALSE,2700247,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3131,US,Arizona,GRAND CANYON,Other
2700259,2613,0.4166666666666667,180152,122,0.736717088,Suburban,19904.94588288545,0.712190713,1473862.64,30309.076428418794,0.029855281833787897,FALSE,2700259,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3157,US,Arizona,GRAND CANYON,Other
2700278,2712,0.2,264318,419,1.43532659,Urban,99227.10335366325,0.92577109,1372044.929,41938.28942489122,1.4604150086905614,TRUE,2700278,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1838,US,New Mexico,ROCKY MOUNTAINS,Other
2700279,1856,0.064102564,296420,1,3.414031857,Suburban,137991.46166407262,0.095245868,1527020.072,48582.751246474996,0.010256961562390508,FALSE,2700279,1400 - Florida Division,1450,1450 - Tampa,1457,US,Florida,FLORIDA,Other
2700303,1400,0.16666666666666666,59276,1290,27.67433284,Rural,7001.208132322821,1.01901957,1132836.691,46164.78896,1.047323028122097,FALSE,2700303,1900 - Gulf Coast Division,1920,1920 - Gulf Coast - Markashia Phillips,1921,US,Louisiana,GULF COAST,Other
2700337,2100,0.034782608695652174,106256,192,3.287444357,Urban,245018.99684080965,1.343304744,1588492.087,81067.85129338074,1.1557359117897048,TRUE,2700337,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2662,US,California,WEST COAST,Other
2700348,2800,0.2222222222222222,18600,158,1.079439818,Rural,21003.73859623693,2.733304286,2291105.948,45042.40075543282,1.054308531448197,TRUE,2700348,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700358,3250,0.125,104784,3683,20.14166796,Suburban,16209.881270778671,1.726281052,2352579.9517578124,55610.49513847332,1.6466762304678744,TRUE,2700358,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700401,2500,0.30275229357798167,758165,73,0.74465917,Urban,364448.6883155541,1.23480331,2065032.716,52413.842320134376,0.030356999989357418,FALSE,2700401,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3146,US,Arizona,GRAND CANYON,Other
